id,id,Price,Address,zip,status,mls,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate,Elem_School_District,Hightest_Rated_School
160,52,348000,6447 W PICCADILLY RD,85033,Active,6388193,Sunset Knoll 2,1960,3,2.0,1300.0,3.0,Cartwright,95.89
161,82,365000,8140 W VERDE LN,85033,Active,6395209,MARYVALE TERRACE 30 TR A,1962,3,2.0,1080.0,3.0,Cartwright,95.89
162,87,379900,7605 W WHITTON AVE,85033,Active,6371448,MARYVALE TERRACE 28A LOTS 11601-11616,1961,4,2.0,1300.0,3.0,Cartwright,95.89
163,98,275000,6633 W OSBORN RD,85033,Active,6395140,MARYVALE TERRACE 31,1961,3,1.5,952.0,3.0,Cartwright,95.89
164,116,424000,4008 N 59TH AVE,85033,Active,6394590,MARYVALE TERRACE 4 AMD,1958,5,2.5,2135.0,3.0,Cartwright,95.89
165,187,377000,7014 W VERDE LN,85033,Active,6349393,MARYVALE TERRACE NO. 49,1982,4,2.0,1312.0,3.0,Cartwright,95.89
166,188,384000,3101 N 75TH DR,85033,Active,6370062,LAURELWOOD UNIT 4,1979,3,2.0,1524.0,3.0,Cartwright,95.89
167,189,334000,8101 W MEADOWBROOK AVE,85033,Active,6389649,MARYVALE TERRACE NO. 53-B,1980,2,1.0,840.0,3.0,Cartwright,95.89
168,258,340000,4545 N 67TH AVE 1205,85033,Active,6394497,VILLAGE AT WEST MEADOW 1 REPLAT,2000,2,2.0,919.0,3.0,Cartwright,95.89
169,262,379000,7332 W WELDON AVE,85033,Active,6382152,COLLEGE PARK 21,1981,4,2.0,1552.0,3.0,Cartwright,95.89
170,332,397900,3016 N 61ST AVE,85033,Active,6394090,"MARYVALE TERRACE 24 9306-9390, TR A",1960,4,2.0,1658.0,3.0,Cartwright,95.89
171,383,399900,7912 W FLOWER ST,85033,Active,6393757,MARYVALE TERRACE 30 TR A,1963,3,2.0,2064.0,3.0,Cartwright,95.89
172,393,349999,6805 W MARIPOSA ST,85033,Active,6393660,MARYVALE TERRACE 26 AMD LOTS 10369-10434 & TR A,1960,3,1.5,1020.0,3.0,Cartwright,95.89
173,412,370000,7020 W CATALINA DR,85033,UCB (Under Contract-Backups),6364987,MARYVALE TERRACE NO. 49,1982,3,2.0,1565.0,3.0,Cartwright,95.89
174,419,410000,4771 N 65TH DR,85033,Active,6370405,PARKSIDE UNIT 3,1974,4,2.0,1994.0,3.0,Cartwright,95.89
175,504,354900,7737 W Weldon AVE,85033,Active,6392728,MARYVALE TERRACE 28,1961,3,2.0,1200.0,3.0,Cartwright,95.89
176,556,365000,4337 N 70TH AVE,85033,Active,6392074,HEATHER HEIGHTS,1973,4,2.0,1300.0,3.0,Cartwright,95.89
